rate_date,base_currency,quote_currency,exchange_rate
2020-01-01,USD,EUR,0.8488
2020-01-01,USD,CNY,6.4438
2020-01-01,USD,JPY,110.0386
2020-01-01,USD,GBP,0.7489
2020-01-01,USD,CAD,1.2493
2020-01-02,USD,EUR,0.8464
2020-01-02,USD,CNY,6.4430
2020-01-02,USD,JPY,109.8479
2020-01-02,USD,GBP,0.7504
2020-01-02,USD,CAD,1.2522
2020-01-03,USD,EUR,0.8482
2020-01-03,USD,CNY,6.4430
2020-01-03,USD,JPY,109.9189
2020-01-03,USD,GBP,0.7518
2020-01-03,USD,CAD,1.2528
2020-01-04,USD,EUR,0.8461
2020-01-04,USD,CNY,6.4376
2020-01-04,USD,JPY,110.1439
2020-01-04,USD,GBP,0.7535
2020-01-04,USD,CAD,1.2551
2020-01-05,USD,EUR,0.8464
2020-01-05,USD,CNY,6.4328
2020-01-05,USD,JPY,110.1690
2020-01-05,USD,GBP,0.7526
2020-01-05,USD,CAD,1.2578
2020-01-06,USD,EUR,0.8480
2020-01-06,USD,CNY,6.4277
2020-01-06,USD,JPY,110.3337
2020-01-06,USD,GBP,0.7524
2020-01-06,USD,CAD,1.2552
2020-01-07,USD,EUR,0.8456
2020-01-07,USD,CNY,6.4282
2020-01-07,USD,JPY,110.4986
2020-01-07,USD,GBP,0.7538
2020-01-07,USD,CAD,1.2562
2020-01-08,USD,EUR,0.8450
2020-01-08,USD,CNY,6.4295
2020-01-08,USD,JPY,110.5968
2020-01-08,USD,GBP,0.7547
2020-01-08,USD,CAD,1.2576
2020-01-09,USD,EUR,0.8474
2020-01-09,USD,CNY,6.4288
2020-01-09,USD,JPY,110.3958
2020-01-09,USD,GBP,0.7534
2020-01-09,USD,CAD,1.2572
2020-01-10,USD,EUR,0.8456
2020-01-10,USD,CNY,6.4328
2020-01-10,USD,JPY,110.4427
2020-01-10,USD,GBP,0.7546
2020-01-10,USD,CAD,1.2566
2020-01-11,USD,EUR,0.8442
2020-01-11,USD,CNY,6.4294
2020-01-11,USD,JPY,110.2022
2020-01-11,USD,GBP,0.7538
2020-01-11,USD,CAD,1.2556
2020-01-12,USD,EUR,0.8461
2020-01-12,USD,CNY,6.4362
2020-01-12,USD,JPY,110.0485
2020-01-12,USD,GBP,0.7552
2020-01-12,USD,CAD,1.2561
2020-01-13,USD,EUR,0.8452
2020-01-13,USD,CNY,6.4334
2020-01-13,USD,JPY,109.8632
2020-01-13,USD,GBP,0.7572
2020-01-13,USD,CAD,1.2537
2020-01-14,USD,EUR,0.8474
2020-01-14,USD,CNY,6.4380
2020-01-14,USD,JPY,109.8297
2020-01-14,USD,GBP,0.7580
2020-01-14,USD,CAD,1.2525
2020-01-15,USD,EUR,0.8454
2020-01-15,USD,CNY,6.4381
2020-01-15,USD,JPY,109.6384
2020-01-15,USD,GBP,0.7570
2020-01-15,USD,CAD,1.2532
2020-01-16,USD,EUR,0.8464
2020-01-16,USD,CNY,6.4380
2020-01-16,USD,JPY,109.4932
2020-01-16,USD,GBP,0.7559
2020-01-16,USD,CAD,1.2543
2020-01-17,USD,EUR,0.8483
2020-01-17,USD,CNY,6.4428
2020-01-17,USD,JPY,109.5918
2020-01-17,USD,GBP,0.7572
2020-01-17,USD,CAD,1.2537
2020-01-18,USD,EUR,0.8466
2020-01-18,USD,CNY,6.4372
2020-01-18,USD,JPY,109.6117
2020-01-18,USD,GBP,0.7578
2020-01-18,USD,CAD,1.2567
2020-01-19,USD,EUR,0.8462
2020-01-19,USD,CNY,6.4409
2020-01-19,USD,JPY,109.5769
2020-01-19,USD,GBP,0.7560
2020-01-19,USD,CAD,1.2541
2020-01-20,USD,EUR,0.8479
2020-01-20,USD,CNY,6.4480
2020-01-20,USD,JPY,109.7267
2020-01-20,USD,GBP,0.7547
2020-01-20,USD,CAD,1.2534
2020-01-21,USD,EUR,0.8468
2020-01-21,USD,CNY,6.4479
2020-01-21,USD,JPY,109.8972
2020-01-21,USD,GBP,0.7564
2020-01-21,USD,CAD,1.2516
2020-01-22,USD,EUR,0.8459
2020-01-22,USD,CNY,6.4483
2020-01-22,USD,JPY,109.7792
2020-01-22,USD,GBP,0.7560
2020-01-22,USD,CAD,1.2487
2020-01-23,USD,EUR,0.8466
2020-01-23,USD,CNY,6.4463
2020-01-23,USD,JPY,109.7664
2020-01-23,USD,GBP,0.7550
2020-01-23,USD,CAD,1.2493
2020-01-24,USD,EUR,0.8476
2020-01-24,USD,CNY,6.4471
2020-01-24,USD,JPY,109.8182
2020-01-24,USD,GBP,0.7539
2020-01-24,USD,CAD,1.2485
2020-01-25,USD,EUR,0.8472
2020-01-25,USD,CNY,6.4537
2020-01-25,USD,JPY,109.6859
2020-01-25,USD,GBP,0.7556
2020-01-25,USD,CAD,1.2512
2020-01-26,USD,EUR,0.8476
2020-01-26,USD,CNY,6.4600
2020-01-26,USD,JPY,109.4486
2020-01-26,USD,GBP,0.7546
2020-01-26,USD,CAD,1.2515
2020-01-27,USD,EUR,0.8476
2020-01-27,USD,CNY,6.4668
2020-01-27,USD,JPY,109.6886
2020-01-27,USD,GBP,0.7555
2020-01-27,USD,CAD,1.2534
2020-01-28,USD,EUR,0.8466
2020-01-28,USD,CNY,6.4678
2020-01-28,USD,JPY,109.7813
2020-01-28,USD,GBP,0.7537
2020-01-28,USD,CAD,1.2524
2020-01-29,USD,EUR,0.8464
2020-01-29,USD,CNY,6.4718
2020-01-29,USD,JPY,110.0174
2020-01-29,USD,GBP,0.7518
2020-01-29,USD,CAD,1.2529
2020-01-30,USD,EUR,0.8454
2020-01-30,USD,CNY,6.4740
2020-01-30,USD,JPY,110.1014
2020-01-30,USD,GBP,0.7517
2020-01-30,USD,CAD,1.2514
2020-01-31,USD,EUR,0.8465
2020-01-31,USD,CNY,6.4741
2020-01-31,USD,JPY,109.8686
2020-01-31,USD,GBP,0.7531
2020-01-31,USD,CAD,1.2528
2020-02-01,USD,EUR,0.8486
2020-02-01,USD,CNY,6.4776
2020-02-01,USD,JPY,109.8870
2020-02-01,USD,GBP,0.7550
2020-02-01,USD,CAD,1.2557
2020-02-02,USD,EUR,0.8492
2020-02-02,USD,CNY,6.4819
2020-02-02,USD,JPY,109.6643
2020-02-02,USD,GBP,0.7552
2020-02-02,USD,CAD,1.2564
2020-02-03,USD,EUR,0.8479
2020-02-03,USD,CNY,6.4856
2020-02-03,USD,JPY,109.4263
2020-02-03,USD,GBP,0.7570
2020-02-03,USD,CAD,1.2561
2020-02-04,USD,EUR,0.8472
2020-02-04,USD,CNY,6.4867
2020-02-04,USD,JPY,109.4618
2020-02-04,USD,GBP,0.7551
2020-02-04,USD,CAD,1.2555
2020-02-05,USD,EUR,0.8476
2020-02-05,USD,CNY,6.4803
2020-02-05,USD,JPY,109.2820
2020-02-05,USD,GBP,0.7535
2020-02-05,USD,CAD,1.2541
2020-02-06,USD,EUR,0.8465
2020-02-06,USD,CNY,6.4812
2020-02-06,USD,JPY,109.2471
